value,variants
Talode,Talode
Thana Bhawan,Thana Bhawan
Porbandar,Porbandar
Hardoi,Hardoi
Pindwara,Pindwara
Virudhachalam,Virudhachalam
Sojat,Sojat
Nanjangud,Nanjangud
Sadalagi,Sadalagi
Pathardi,Pathardi
Sasvad,Sasvad
Bhubaneswar,Bhubaneswar
Karaikal,Karaikal
Rabkavi Banhatti,Rabkavi Banhatti
Nandurbar,Nandurbar
Chandausi,Chandausi
Thirupuvanam,Thirupuvanam
Azamgarh,Azamgarh
Tanda,Tanda
Narwana,Narwana
Viluppuram,Viluppuram
Kot Kapura,Kot Kapura
Sitamarhi,Sitamarhi
Amroha,Amroha
Moradabad,Moradabad
Shrirampur,Shrirampur
Malappuram,Malappuram
Thuraiyur,Thuraiyur
Santipur,Santipur
Pandharkaoda,Pandharkaoda
Nowrozabad Khodargama,Nowrozabad Khodargama
Shikaripur,Shikaripur
Ramngarh,Ramngarh
Palakkad,Palakkad
Tamluk,Tamluk
Balaghat,Balaghat
Udaipurwati,Udaipurwati
Rasipuram,Rasipuram
Arrah,Arrah
Mukerian,Mukerian
Muvattupuzha,Muvattupuzha
Bharatpur,Bharatpur
Bhagalpur,Bhagalpur
Sirkali,Sirkali
Sivaganga,Sivaganga
Patan,Patan
Todaraisingh,Todaraisingh
Cooch Behar,Cooch Behar
Viswanatham,Viswanatham
Balangir,Balangir
Panagar,Panagar
Vapi,Vapi
Hawa Jaipur,Hawa Jaipur
Salaya,Salaya
Ranipet,Ranipet
Kalyan Dombivali,Kalyan Dombivali
Nandivaram Guduvancheri,Nandivaram Guduvancheri
Nehtaur,Nehtaur
Chatra,Chatra
Pondicherry,Pondicherry
Sheopur,Sheopur
Kendujhar,Kendujhar
Shahpura,Shahpura
Mundargi,Mundargi
Chilakaluripet,Chilakaluripet
Raver,Raver
Jalandhar,Jalandhar
Taliparamba,Taliparamba
Kadiri,Kadiri
Rath,Rath
Palacole,Palacole
Bhopal,Bhopal
Narnaul,Narnaul
Rajgarh,Rajgarh
Pandua,Pandua
Lumding,Lumding
mumbai,mumbai
Sardhana,Sardhana
Solan,Solan
Deoghar,Deoghar
Shivpuri,Shivpuri
Brahmapur,Brahmapur
Rajgir,Rajgir
Adilabad,Adilabad
Pilkhuwa,Pilkhuwa
Hisar,Hisar
Pappinisseri,Pappinisseri
Obra,Obra
Valsad,Valsad
Srinagar,Srinagar
