value,variants
Chicken Banjara Kabab,Chicken Banjara Kabab
Chicken Haryali Kabab,Chicken Haryali Kabab
Chicken Adarki Kabab,Chicken Adarki Kabab
Chicken Malai Kabab,Chicken Malai Kabab
Chicken Reshmi Kabab,Chicken Reshmi Kabab
Chicken Alishan Kabab,Chicken Alishan Kabab
Chicken Ruzali Kabab,Chicken Ruzali Kabab
Kali Miri Kabab,Kali Miri Kabab
Chicken Tikka,Chicken Tikka
Chicken Seekh Kabab,Chicken Seekh Kabab
Mutton Seekh Kabab,Mutton Seekh Kabab
Chilly Milly Kabab,Chilly Milly Kabab
Chicken Lasooni Kabab,Chicken Lasooni Kabab
Chicken Afghani Kabab,Chicken Afghani Kabab
Rangeela Kabab,Rangeela Kabab
Two in One Kabab,Two in One Kabab
Karela Kabab,Karela Kabab
Chicken Platter,Chicken Platter
aachari aloo,aachari aloo
aachari bhendi,aachari bhendi
aachari chaap,aachari chaap
aachari mathi,aachari mathi
aachari murgh,aachari murgh
aachari parantha,aachari parantha
aachari paratha,aachari paratha
aachari tikka,aachari tikka
aalo mutter,aalo mutter
aalo paratha,aalo paratha
aaloo achari,aaloo achari
aaloo chat,aaloo chat
aaloo gobhi,aaloo gobhi
aaloo gobi,aaloo gobi
aaloo jeera,aaloo jeera
aaloo kulcha,aaloo kulcha
aaloo kulchaa,aaloo kulchaa
aaloo masala,aaloo masala
aaloo matar,aaloo matar
aaloo methi,aaloo methi
aaloo mutter,aaloo mutter
aaloo muttor,aaloo muttor
aaloo naan,aaloo naan
aaloo paalak,aaloo paalak
aaloo palak,aaloo palak
aaloo paraatha,aaloo paraatha
aaloo parantha,aaloo parantha
aaloo paratha,aaloo paratha
aaloo raita,aaloo raita
aalu raita,aalu raita
achaari aloo,achaari aloo
achaari gosht,achaari gosht
achaari khumb,achaari khumb
achanak natkhat,achanak natkhat
achari  chicken,achari  chicken
achari aloo,achari aloo
achari bengan,achari bengan
achari burger,achari burger
achari chaamp,achari chaamp
achari chaap,achari chaap
achari chap,achari chap
achari chicken,achari chicken
achari ghost,achari ghost
achari gosht,achari gosht
achari kabab,achari kabab
achari kebab,achari kebab
achari khumb,achari khumb
achari kulcha,achari kulcha
achari kumbh,achari kumbh
achari momos,achari momos
achari murg,achari murg
achari murga,achari murga
achari murgh,achari murgh
achari mushroom,achari mushroom
achari mutton,achari mutton
achari paneer,achari paneer
achari parantha,achari parantha
achari paratha,achari paratha
achari roll,achari roll
achari sabji,achari sabji
achari tikka,achari tikka
achari wrap,achari wrap
achhari aloo,achhari aloo
achhari gobi,achhari gobi
afagani chicken,afagani chicken
afgaan chicken,afgaan chicken
afgani chaamp,afgani chaamp
afgani chaap,afgani chaap
afgani chicken,afgani chicken
afgani kabab,afgani kabab
afgani momos,afgani momos
afgani murg,afgani murg
afgani naan,afgani naan
afgani roll,afgani roll
afgani tandoori,afgani tandoori
afgani tangdi,afgani tangdi
afgani tikka,afgani tikka
afghaani chaap,afghaani chaap
afghan murg,afghan murg
afghani  paneer,afghani  paneer
afghani  roll,afghani  roll
afghani chaap,afghani chaap
afghani chap,afghani chap
afghani chicken,afghani chicken
afghani combo,afghani combo
afghani firni,afghani firni
afghani kabab,afghani kabab
afghani kebab,afghani kebab
afghani kukkad,afghani kukkad
afghani kukkar,afghani kukkar
afghani leg,afghani leg
afghani masala,afghani masala
afghani momos,afghani momos
afghani murg,afghani murg
afghani murgh,afghani murgh
afghani mushroom,afghani mushroom
afghani naan,afghani naan
afghani paneer,afghani paneer
afghani pulao,afghani pulao
afghani roll,afghani roll
afghani salad,afghani salad
afghani tandoor,afghani tandoor
afghani tandoori,afghani tandoori
afghani tangdi,afghani tangdi
afghani tikka,afghani tikka
afghani chicken,afghani chicken
almond brownies,almond brownies
almond chocolate,almond chocolate
almond coffee,almond coffee
almond crunch,almond crunch
almond honey,almond honey
almond praline,almond praline
almond rocks,almond rocks
almond soup,almond soup
almond twist,almond twist
alnut drops,alnut drops
aloo  aammat,aloo  aammat
aloo  gobi,aloo  gobi
aloo  jeera,aloo  jeera
aloo  kulcha,aloo  kulcha
aloo  mushroom,aloo  mushroom
aloo  mutter,aloo  mutter
aloo  palak,aloo  palak
aloo  parantha,aloo  parantha
aloo  paratha,aloo  paratha
aloo 65,aloo 65
aloo achari,aloo achari
aloo acharie,aloo acharie
aloo adraki,aloo adraki
aloo anardana,aloo anardana
aloo banda,aloo banda
aloo bbq,aloo bbq
aloo bedmi,aloo bedmi
aloo bhaja,aloo bhaja
aloo bhaji,aloo bhaji
aloo bhajji,aloo bhajji
aloo bharwan,aloo bharwan
aloo bhindi,aloo bhindi
aloo bhujia,aloo bhujia
aloo birbali,aloo birbali
aloo biryani,aloo biryani
aloo bonda,aloo bonda
aloo burger,aloo burger
aloo capsicum,aloo capsicum
aloo chaat,aloo chaat
aloo chana,aloo chana
aloo chaska,aloo chaska
aloo chat,aloo chat
aloo cheese,aloo cheese
aloo chilli,aloo chilli
aloo chilly,aloo chilly
aloo chinese,aloo chinese
aloo chutneywala,aloo chutneywala
aloo crispy,aloo crispy
aloo curry,aloo curry
aloo dahiwala,aloo dahiwala
aloo dilnaaz,aloo dilnaaz
aloo dom,aloo dom
aloo dopaiza,aloo dopaiza
aloo dum,aloo dum
aloo dumdar,aloo dumdar
aloo fry,aloo fry
aloo gobhi,aloo gobhi
aloo gobi,aloo gobi
aloo gosht,aloo gosht
aloo gulat,aloo gulat
aloo jeera,aloo jeera
aloo kashmiri,aloo kashmiri
aloo kathi,aloo kathi
aloo kheema,aloo kheema
aloo kulcha,aloo kulcha
aloo kurkure,aloo kurkure
aloo lajawaab,aloo lajawaab
aloo manchurian,aloo manchurian
aloo masala,aloo masala
aloo masaledar,aloo masaledar
aloo matar,aloo matar
aloo mater,aloo mater
aloo mattar,aloo mattar
aloo mehti,aloo mehti
aloo methi,aloo methi
aloo muter,aloo muter
aloo muttar,aloo muttar
aloo mutter,aloo mutter
aloo muttor,aloo muttor
aloo naan,aloo naan
aloo nagakat,aloo nagakat
aloo nan,aloo nan
aloo nazakat,aloo nazakat
aloo pakoda,aloo pakoda
aloo pakora,aloo pakora
aloo palak,aloo palak
aloo paneer,aloo paneer
