value,variants
Carry On Kesar,Carry On Kesar
Sajan Chale Sasural 2,Sajan Chale Sasural 2
Dulhan Chahi Pakistan Se (U/A),Dulhan Chahi Pakistan Se (U/A)
Jayamu Nichamu Ra,Jayamu Nichamu Ra
Mareyadiru Endendu,Mareyadiru Endendu
Tiny Forest Adventure & Need for Speed (7D),Tiny Forest Adventure & Need for Speed (7D)
Roller Coaster & Joy Ride (7D),Roller Coaster & Joy Ride (7D)
Love Hai Yaar Accept It (U/A),Love Hai Yaar Accept It (U/A)
Death Race 2,Death Race 2
Yevanda (A),Yevanda (A)
Mechanic: Resurrection (Tamil) (U/A),Mechanic: Resurrection (Tamil) (U/A)
Fantastic Beasts And Where To Find Them (Tamil) (U/A),Fantastic Beasts And Where To Find Them (Tamil) (U/A)
Pellichoopulu (U),Pellichoopulu (U)
Full Guarantee (U/A),Full Guarantee (U/A)
Prem Sankat (U/A),Prem Sankat (U/A)
Bahi Tor Surta Ma,Bahi Tor Surta Ma
Kai,Kai
Thikka (U/A),Thikka (U/A)
Taragele (A),Taragele (A)
Prarthana,Prarthana
Haseena Maan Jayegi (A),Haseena Maan Jayegi (A)
Mokama 0 KM (A),Mokama 0 KM (A)
Prashasan (A),Prashasan (A)
Midnight`s Children (A),Midnight`s Children (A)
LAbyrinth,LAbyrinth
Kolaiyuthir Kaalam,Kolaiyuthir Kaalam
Zindagi (U/A),Zindagi (U/A)
Posto,Posto
Dharmadurai (U),Dharmadurai (U)
Mary Kom (U),Mary Kom (U)
Naan Maya,Naan Maya
Rum,Rum
Remo (Telugu) (U),Remo (Telugu) (U)
Enemy (Konkani),Enemy (Konkani)
Arrival,Arrival
Detour,Detour
Railroad Tigers,Railroad Tigers
Kaatru Veliyidai,Kaatru Veliyidai
Kannula Kaasa Kattappa,Kannula Kaasa Kattappa
Adhiradi Arjun Adaavadi Azhagi Nayanthara,Adhiradi Arjun Adaavadi Azhagi Nayanthara
Aarambame Attagasam,Aarambame Attagasam
Gunaaji (Konkani),Gunaaji (Konkani)
Home Sweet Home (Konkani) (U),Home Sweet Home (Konkani) (U)
Mortoo: Death is Not so Serious,Mortoo: Death is Not so Serious
Suring,Suring
Ek Kahani Julie Ki (A),Ek Kahani Julie Ki (A)
Bhoomi,Bhoomi
Deadpool 2,Deadpool 2
Virumandikkum Sivanaandikkkum (U),Virumandikkum Sivanaandikkkum (U)
Mummy,Mummy
Nerve (U/A),Nerve (U/A)
Pattathari,Pattathari
Ilami,Ilami
Home Sweet Home 2,Home Sweet Home 2
Nachomia Kumpasar (U),Nachomia Kumpasar (U)
Jayantabhai Ki Luv Story (U/A),Jayantabhai Ki Luv Story (U/A)
Rangam 2 (U),Rangam 2 (U)
Soggadu,Soggadu
Hangover (Kannada),Hangover (Kannada)
Happy New Year (Kannada),Happy New Year (Kannada)
Madha Matthu Manasi,Madha Matthu Manasi
10 Kalpanakal,10 Kalpanakal
Antarleen,Antarleen
Game (U/A),Game (U/A)
X: Night of Vengeance (Hindi),X: Night of Vengeance (Hindi)
Ek Yodha Shoorveer (U/A),Ek Yodha Shoorveer (U/A)
The Red Rose (A),The Red Rose (A)
Black Swan (A),Black Swan (A)
The Boy (U/A),The Boy (U/A)
Alien: Covenant,Alien: Covenant
Punnami Ratri (Telugu) (A),Punnami Ratri (Telugu) (A)
Titanic (Telugu) (U/A),Titanic (Telugu) (U/A)
Tholi Premalo (U),Tholi Premalo (U)
Nee illade (U/A),Nee illade (U/A)
Mandyadha Hudugru,Mandyadha Hudugru
Kacche Dhaagey,Kacche Dhaagey
The Journey Of Punjab 2016,The Journey Of Punjab 2016
Banchha Elo Phire (U/A),Banchha Elo Phire (U/A)
Aguner Pakhi,Aguner Pakhi
The Godfather  Part III (1990) (A),The Godfather  Part III (1990) (A)
Kill Ratio,Kill Ratio
Manje Bistre,Manje Bistre
Ek Ziddi,Ek Ziddi
Avasaraniko Abaddam (U/A),Avasaraniko Abaddam (U/A)
Chaar Sahibzaade (2D Hindi) (U),Chaar Sahibzaade (2D Hindi) (U)
Private Teacher (A),Private Teacher (A)
Tutak Tutak Tutiya (U/A),Tutak Tutak Tutiya (U/A)
Garam Reth,Garam Reth
Train To Busan (Hindi) (A),Train To Busan (Hindi) (A)
Tharkappu (U/A),Tharkappu (U/A)
Dandupalyam Alajadi (U),Dandupalyam Alajadi (U)
Rajugaarintlo 7 Va Roju (U/A),Rajugaarintlo 7 Va Roju (U/A)
Osey Mallamma,Osey Mallamma
Apsssarey (U/A),Apsssarey (U/A)
Sivapuram,Sivapuram
Haripada Bandwala,Haripada Bandwala
Aashiq Awara,Aashiq Awara
Bhaigiri (U/A),Bhaigiri (U/A)
Abhishaap Kamasutra Ka,Abhishaap Kamasutra Ka
Asian School Girls (A),Asian School Girls (A)
Selfie Raja (U/A),Selfie Raja (U/A)
Srirastu Subhamastu (U/A),Srirastu Subhamastu (U/A)
Akathayi,Akathayi
Duniya Jale To Jale (U/A),Duniya Jale To Jale (U/A)
Gharwali Baharwali,Gharwali Baharwali
Desh Pardesh (Bhojpuri) (A),Desh Pardesh (Bhojpuri) (A)
Haunted Resort,Haunted Resort
Jil Ka Tufan,Jil Ka Tufan
Mechanic: Resurrection (Hindi) (U/A),Mechanic: Resurrection (Hindi) (U/A)
Ok(Telugu),Ok(Telugu)
Baar Baar Dekho (U/A),Baar Baar Dekho (U/A)
The Last Tale Of Kayenaat,The Last Tale Of Kayenaat
Ethugai,Ethugai
Red (2016) (A),Red (2016) (A)
Prem Suman (U),Prem Suman (U)
The Jungle Book (Hindi) (U/A),The Jungle Book (Hindi) (U/A)
Main Hoon Rakshak (U),Main Hoon Rakshak (U)
The Power of Ranneeti,The Power of Ranneeti
Ok (Hindi),Ok (Hindi)
MARUPADY,MARUPADY
Raktyug (U),Raktyug (U)
Digant (U/A),Digant (U/A)
Nirmon (U),Nirmon (U)
Dele Dhara Katha Sare (U),Dele Dhara Katha Sare (U)
