value,variants
Rishikesh,Rishikesh |
Mauganj,Mauganj |
Ranebennuru,Ranebennuru |
Mandawa,Mandawa |
Sikandra Rao,Sikandra |Sikandra Rao |
Vaniyambadi,Vaniyambadi |
Kolar,Kolar |
Amalner,Amalner |
Vaijapur,Vaijapur |
Vijaypur,Vijaypur |
Naila Janjgir,Naila |Janjgir |
Alirajpur,Alirajpur |
Mira Bhayandar,Mira |Bhayandar |
Rajagangapur,Rajagangapur |
Jaggaiahpet,Jaggaiahpet |
Orai,Orai |
Mandalgarh,Mandalgarh |
Roorkee,Roorkee |
Mangrol,Mangrol |
Arvi,Arvi |
Rahuri,Rahuri |
Ponnur,Ponnur |
Malaj Khand,Malaj Khand|Malajkhand |
Mysore,Mysore |
Thane,Thane |
Nedumangad,Nedumangad |
Pihani,Pihani |
Jabalpur,Jabalpur |
Sonepur,Sonepur |
Tiruppur,Tiruppur |
Manendragarh,Manendragarh |
Nandgaon,Nandgaon |
Patur,Patur |
Pakaur,Pakaur |
Suriyampalayam,Suriyampalayam |
Gudur,Gudur |
Theni Allinagaram,Theni |Allinagaram |
Tezpur,Tezpur |
Bageshwar,Bageshwar |
Peringathur,Peringathur |
Yanam,Yanam |
Ambejogai,Ambejogai |
Kailasahar,Kailasahar |
Lonavla,Lonavla |
Talaja,Talaja |
Yamunanagar,Yamunanagar |
Kharar,Kharar |
Unnao,Unnao |
Palasa Kasibugga,Palasa |Kasibugga |
Kalpi,Kalpi |
Tiruttani,Tiruttani |
Pachora,Pachora |
Dhubri,Dhubri |
Pilibanga,Pilibanga |
Sangole,Sangole |
Shanti Leh,Shanti |Leh |
Bhongir,Bhongir |
Sultanpur,Sultanpur |
Samastipur,Samastipur |
Panchla,Panchla |
Manachanallur,Manachanallur |
Umbergaon,Umbergaon |
Chirkunda,Chirkunda |
Mount Abu,Mount Abu |Abu |
Raghunathganj,Raghunathganj |
Murwara Katni,Murwara |Katni |
Mahuva,Mahuva |
Darbhanga,Darbhanga |
Nasirabad,Nasirabad |
Kodungallur,Kodungallur |
Surat,Surat |
Hoshiarpur,Hoshiarpur |
Pathankot,Pathankot |
Qadian,Qadian |
Tadepalligudem,Tadepalligudem |
Pudupattinam,Pudupattinam |
Narasaraopet,Narasaraopet |
Rudrapur,Rudrapur |
Koratla,Koratla |
Nizamabad,Nizamabad |
Monoharpur,Monoharpur |
Raisen,Raisen |
Shishgarh,Shishgarh |
Mathabhanga,Mathabhanga |
Raayachuru,Raayachuru |
Jharsuguda,Jharsuguda |
Rairangpur,Rairangpur |
Ramnagar,Ramnagar |
Sawai Madhopur,Sawai |Madhopur |
Mudhol,Mudhol |
Visakhapatnam,Visakhapatnam |
Umreth,Umreth |
Satana,Satana |
Rajpura,Rajpura |
Guruvayoor,Guruvayoor |
Agra,Agra |
Vadgaon Kasba,Vadgaon |Kasba |
Piro,Piro |
Pavagada,Pavagada |
